commentDate,videoDate,videoId,videoTitle,commentId,userName,comment_text,likes
2025-06-18T22:42:15Z,2025-06-18T23:09:32Z,2tiI3vPk_fU,ACB Stock THURSDAY UPDATE! (The Exact Answer) Aurora Cannabis stock best broker review,UgxCPaZqGFVMP5BCysp4AaABAg,@mrsickotrading,"Get my free trading and money making emails to shortcut your learning (Free) 👉https://mrsicko.substack.com/?showWelcome=true Discord + All Workshops and Trading Materials Bundle (How I trade to make consistent Profits) 👉https://stan.store/mrsickotrading/p/trademastery TOOLS: Also, you will need a charting platform, I recommend Tradingview (The fastest way to follow markets, what I use, I've tried them all) 👉 https://bit.ly/3EhgZul (this is an affiliate link, but it is the only way to get you a $15 off, +2 months, yearly discount if interested)",0
2025-06-20T23:30:16Z,2025-06-16T21:20:00Z,l5SIjBR0NCY,Aurora Cannabis Inc (ACB) Stock Analysis Podcast | June 2025 | Investing Talk,UgwZ4tx5ofKEyh1qf954AaABAg,@sagig72,"Great video.  ACB has turned a corner and seems to be a more sustainable business since focusing on medical cannabis and international plus focusing on positive free cashflow. I am bullish. You apparently published this good video 2 days before their Q4 earnings. The stock is taking a nosedive in last 2 days which personally I find way unreasonable.   Can you also please do a video on HITI (a Canadian cannabis retailer, that's growing very well, also international in Germany and seems to go pretty strong, yet is priced dirt cheap).  Will it be possible you do a video on HITI?   THANK YOU!",1
2025-06-17T14:31:40Z,2025-06-16T21:20:00Z,l5SIjBR0NCY,Aurora Cannabis Inc (ACB) Stock Analysis Podcast | June 2025 | Investing Talk,UgzHBcU3naVByh0n6iJ4AaABAg,@ronnelson7543,"In your report, you mentioned analyst expectations for the coming quarter of negative &1.60, however, when I search for earnings estimates, I see anything from $.09-$.50 for the quarter. Why the disparity?",0
2025-06-17T08:24:08Z,2025-06-16T21:20:00Z,l5SIjBR0NCY,Aurora Cannabis Inc (ACB) Stock Analysis Podcast | June 2025 | Investing Talk,Ugye1fSGbNLiGOhTAH54AaABAg,@maherriyadh5647,Could you do SMLR please,0
2025-06-06T21:18:54Z,2025-06-06T21:15:42Z,T33mjtQwMog,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,Ugyw6fZUpTDg2z6ryjR4AaABAg,@chartreaders,Join the FREE ChartReaders Discord Family by clicking the link - Just like here on YT but faster and with screenshots!! https://discord.gg/nxABCVuqBg NOTHING IS FINANCIAL ADVICE Not from Me Not From You Not from Others We are simply educated people sharing/reading educated thoughts and opinions,0
2025-06-06T21:22:00Z,2025-06-06T21:15:42Z,T33mjtQwMog,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,Ugw9M7PFdtUelQ6zw5x4AaABAg,@MandoM2024,👍 today really good very good day. Thanks for your info. We love your video. We never miss one thanks again.🙏,1
2025-06-07T01:42:48Z,2025-06-06T21:15:42Z,T33mjtQwMog,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,UgxYK4QamS2xD8O52TF4AaABAg,@PtSp86,"Ibrx, sofi, baba",0
2025-06-06T23:46:01Z,2025-06-06T21:15:42Z,T33mjtQwMog,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,UgxL_mBCMETh42Dpqyh4AaABAg,@himj2o,Never gonna understand how tilray is still doing great in alcohol sales as well as cannabis and still lagging behind the sector. Like wowed,2
2025-05-17T19:04:48Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,UgxHMjcXY1I37AVLFwF4AaABAg,@chartreaders,Join the FREE ChartReaders Discord Family by clicking the link - Just like here on YT but faster and with screenshots!! https://discord.gg/nxABCVuqBg NOTHING IS FINANCIAL ADVICE Not from Me Not From You Not from Others We are simply educated people sharing/reading educated thoughts and opinions,0
2025-05-20T23:09:14Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,Ugzj9KUp0P505wCchx54AaABAg,@PaulAugie-mb6vs,Cause you are good at it. Lol Let's go MJ.   Safe banking is on Deck !!!,0
2025-05-21T00:42:36Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,UgxvGvSOcVgXcZuw9Vd4AaABAg,@leashaayn7306,🙏🍀🍀🍀✌️,1
2025-05-17T21:46:32Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,UgxCShwFBI4yvI-u2oN4AaABAg,@MandoM2024,🫶👍👍👍👍👍,1
2025-05-20T23:07:46Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,Ugy2zv_t_UiPEjV-YL94AaABAg,@PaulAugie-mb6vs,Hey Kitty.  Hope ya are well my brother 😎,1
2025-05-20T23:08:24Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,UgyB4WHtD-P_gHCADqx4AaABAg,@PaulAugie-mb6vs,I think you should make more M. J. Videos.,1
2025-05-18T23:54:28Z,2025-05-17T18:55:35Z,t69gFKcBk9w,#CGC #TLRY #SNDL #ACB #HITI #MSOS - WEED STOCK Technical Analysis,Ugz2QBbBxbz15zOiHqd4AaABAg,@Mikemazz-b9j,Acb  is best,1
